Exchange,Ipaddr4,Ipaddr6,Speed,Url,Date
NYIIX,             198.32.160.189        ,             2001:504:1::a500:2906:2         ,             20G        ,https://www.peeringdb.com/ix/14,2018-07-16
SGIX,             103.16.102.86        ,             2001:de8:12:100::86         ,             10G        ,https://www.peeringdb.com/ix/429,2018-07-16
SGIX,             103.16.102.87        ,             2001:de8:12:100::87         ,             10G        ,https://www.peeringdb.com/ix/429,2018-07-16
SIX Seattle,             206.81.80.222        ,             2001:504:16::b5a         ,             100G        ,https://www.peeringdb.com/ix/13,2018-07-16
SIX Seattle,             206.81.80.223        ,             2001:504:16::223:0:b5a         ,             100G        ,https://www.peeringdb.com/ix/13,2018-07-16
STHIX - Stockholm,             192.121.80.237        ,             2001:7f8:3e:0:a500:0:2906:1         ,             10G        ,https://www.peeringdb.com/ix/172,2018-07-16
STHIX - Stockholm,             192.121.80.33        ,             2001:7f8:3e:0:a500:0:2906:2         ,             10G        ,https://www.peeringdb.com/ix/172,2018-07-16
SwissIX,             91.206.52.85        ,             2001:7f8:24::55         ,             20G        ,https://www.peeringdb.com/ix/60,2018-07-16
SwissIX,             91.206.52.86        ,             2001:7f8:24::56         ,             20G        ,https://www.peeringdb.com/ix/60,2018-07-16
TOP-IX,             194.116.96.90        ,             2001:7f8:23:ffff::90         ,             10G        ,https://www.peeringdb.com/ix/115,2018-07-16
TPAIX,             206.108.114.10        ,             2001:504:3c::a         ,             10G        ,https://www.peeringdb.com/ix/833,2018-07-16
UAE-IX,             185.1.8.52        ,             2001:7f8:73::b5a:0:1         ,             20G        ,https://www.peeringdb.com/ix/587,2018-07-16
UAE-IX,             185.1.8.53        ,             2001:7f8:73::b5a:0:2         ,             20G        ,https://www.peeringdb.com/ix/587,2018-07-16
VIX,             193.203.0.9        ,             2001:7f8:30:0:1:1:0:2906         ,             30G        ,https://www.peeringdb.com/ix/50,2018-07-16
VIX,             193.203.0.203        ,             2001:7f8:30:0:2:1:0:2906         ,             30G        ,https://www.peeringdb.com/ix/50,2018-07-16
